timestamp,cpu_usage,memory_usage,process_name,pid,process_cpu,process_memory,status
1751953963,16.1,78.6,System Idle Process,0,682.4,4.836995664600786e-05,High Process Usage
1751953963,16.1,78.6,System,4,6.7,0.0491196909740209,Normal
1751953963,16.1,78.6,MsMpEng.exe,5904,5.4,1.852351674737194,Normal
1751953963,16.1,78.6,Code.exe,6032,1.6,1.1284469035730402,Normal
1751953963,16.1,78.6,Code.exe,12184,1.0,1.6410958890857548,Normal
1751953963,16.1,78.6,ChatGPT.exe,15708,2.9,1.009335885332246,Normal
1751953963,16.1,78.6,msedgewebview2.exe,17052,1.9,0.535358680158015,Normal
1751953963,16.1,78.6,explorer.exe,18404,2.1,2.544162979666721,Normal
1751953963,16.1,78.6,dwm.exe,18536,10.3,0.9036233450823956,Normal
1751953963,16.1,78.6,WmiPrvSE.exe,18728,1.0,0.0869691820495221,Normal
1751953963,16.1,78.6,python.exe,19460,8.4,0.4766859227464075,Normal
1751953963,16.1,78.6,Spotify.exe,25136,5.8,1.647625833232966,Normal
1751953963,16.1,78.6,Spotify.exe,25920,1.0,2.473228438245351,Normal
1751953963,16.1,78.6,audiodg.exe,27064,5.3,0.1243833435152092,Normal
1751953963,16.1,78.6,Code.exe,27800,1.9,1.76061805195804,Normal
1751953963,16.1,78.6,msedgewebview2.exe,28996,24.1,0.952912330904678,Normal
1751953963,16.1,78.6,msedgewebview2.exe,29216,5.1,2.5759662261614715,Normal
1751953969,30.8,79.1,System Idle Process,0,657.0,4.836995664600786e-05,High Process Usage
1751953969,30.8,79.1,System,4,4.3,0.0491196909740209,Normal
1751953969,30.8,79.1,svchost.exe,1536,1.2,0.104600031246992,Normal
1751953969,30.8,79.1,svchost.exe,1940,2.2,0.0788430293329928,Normal
1751953969,30.8,79.1,svchost.exe,4632,1.0,0.0888314253803934,Normal
1751953969,30.8,79.1,MsMpEng.exe,5904,18.3,1.890443015595925,Normal
1751953969,30.8,79.1,Code.exe,6032,3.1,1.16934370191724,Normal
1751953969,30.8,79.1,ChatGPT.exe,15708,1.9,1.008948925679078,Normal
1751953969,30.8,79.1,explorer.exe,18404,4.3,2.5461219629108847,Normal
1751953969,30.8,79.1,dwm.exe,18536,16.9,0.9477851155002012,Normal
1751953969,30.8,79.1,WmiPrvSE.exe,18728,1.0,0.0875254365509512,Normal
1751953969,30.8,79.1,Code.exe,18856,2.1,1.0139068462352936,Normal
1751953969,30.8,79.1,python.exe,19460,8.6,0.4785965360339247,Normal
1751953969,30.8,79.1,chrome.exe,22484,8.1,0.917191117921601,Normal
1751953969,30.8,79.1,Spotify.exe,25136,2.8,1.6471663186448284,Normal
1751953969,30.8,79.1,audiodg.exe,27064,3.3,0.1243833435152092,Normal
1751953969,30.8,79.1,Code.exe,27800,5.5,1.7767978024561295,Normal
1751953969,30.8,79.1,msedgewebview2.exe,28996,18.0,0.953105810731262,Normal
1751953969,30.8,79.1,msedgewebview2.exe,29216,5.0,2.573064028762711,Normal
1751953976,23.0,81.6,System Idle Process,0,620.4,4.836995664600786e-05,High Process Usage
1751953976,23.0,81.6,System,4,14.9,0.0491196909740209,Normal
1751953976,23.0,81.6,MemCompression,3644,2.1,2.8778673105675296,Normal
1751953976,23.0,81.6,MsMpEng.exe,5904,11.2,1.934459676143792,Normal
1751953976,23.0,81.6,chrome.exe,9440,4.4,1.483385645441446,Normal
1751953976,23.0,81.6,svchost.exe,12920,1.2,0.2185112791483405,Normal
1751953976,23.0,81.6,msedge.exe,14936,3.7,0.8666203282481999,Normal
1751953976,23.0,81.6,explorer.exe,18404,13.7,2.553861155974246,Normal
1751953976,23.0,81.6,dwm.exe,18536,16.7,1.039688033127616,Normal
1751953976,23.0,81.6,WmiPrvSE.exe,18728,1.2,0.0874045116593362,Normal
1751953976,23.0,81.6,python.exe,19460,10.9,0.4791044205787079,Normal
1751953976,23.0,81.6,chrome.exe,19528,1.2,0.4168764713536187,Normal
1751953976,23.0,81.6,msedge.exe,20448,4.6,0.2563607702238417,Normal
1751953976,23.0,81.6,msedge.exe,21876,9.0,1.1103081698307875,Normal
1751953976,23.0,81.6,Spotify.exe,25136,1.9,1.6473839834497357,Normal
1751953976,23.0,81.6,msedge.exe,25820,12.3,0.9488250695680902,Normal
1751953976,23.0,81.6,audiodg.exe,27064,3.2,0.1243833435152092,Normal
1751953976,23.0,81.6,msedgewebview2.exe,28996,16.5,0.9531299957095848,Normal
1751953976,23.0,81.6,msedgewebview2.exe,29216,6.5,2.5679126283799114,Normal
1751953983,20.8,84.5,System Idle Process,0,517.2,4.836995664600786e-05,High Process Usage
1751953983,20.8,84.5,System,4,16.7,0.0491438759523439,Normal
1751953983,20.8,84.5,services.exe,1128,1.4,0.049458280670543,Normal
1751953983,20.8,84.5,lsass.exe,1156,1.2,0.1257135173229744,Normal
1751953983,20.8,84.5,svchost.exe,1372,1.4,0.2068299346183296,Normal
1751953983,20.8,84.5,chrome.exe,1408,12.5,1.4532995324076292,Normal
1751953983,20.8,84.5,svchost.exe,1536,3.0,0.1021573484363685,Normal
1751953983,20.8,84.5,svchost.exe,1940,1.4,0.0788430293329928,Normal
1751953983,20.8,84.5,svchost.exe,2256,3.2,0.1308407327274512,Normal
1751953983,20.8,84.5,MemCompression,3644,2.1,2.8838651851916346,Normal
1751953983,20.8,84.5,svchost.exe,4496,2.1,0.1617975049808963,Normal
1751953983,20.8,84.5,MsMpEng.exe,5904,8.5,1.950494316771944,Normal
1751953983,20.8,84.5,chrome.exe,9440,17.4,1.5182603841832176,Normal
1751953983,20.8,84.5,ApplicationFrameHost.exe,10648,2.0,0.2936540067979137,Normal
1751953983,20.8,84.5,svchost.exe,12920,1.8,0.2185112791483405,Normal
1751953983,20.8,84.5,ChatGPT.exe,15708,2.0,1.0099888797469672,Normal
1751953983,20.8,84.5,chrome.exe,16732,44.7,2.28949515792549,Normal
1751953983,20.8,84.5,explorer.exe,18404,8.2,2.557367977831081,Normal
1751953983,20.8,84.5,dwm.exe,18536,29.9,1.10203690724432,Normal
1751953983,20.8,84.5,python.exe,19460,14.6,0.4792011604919998,Normal
1751953983,20.8,84.5,chrome.exe,19528,4.4,0.4201656284055473,Normal
1751953983,20.8,84.5,msedge.exe,21876,4.2,1.13802415498895,Normal
1751953983,20.8,84.5,notepad++.exe,23060,1.1,0.5503533667182774,Normal
1751953983,20.8,84.5,Spotify.exe,25136,1.3,1.6468277289483066,Normal
1751953983,20.8,84.5,ctfmon.exe,25316,1.5,0.17229378557308,Normal
1751953983,20.8,84.5,msedge.exe,25820,3.3,0.9363939907100662,Normal
1751953983,20.8,84.5,audiodg.exe,27064,4.0,0.1250363379299303,Normal
1751953983,20.8,84.5,msedgewebview2.exe,28996,12.6,0.9889963185625996,Normal
1751953983,20.8,84.5,msedgewebview2.exe,29216,5.5,2.578795868625263,Normal
1751953990,41.2,85.0,System Idle Process,0,471.5,4.836995664600786e-05,High Process Usage
1751953990,41.2,85.0,System,4,17.5,0.0491438759523439,Normal
1751953990,41.2,85.0,chrome.exe,1408,34.1,2.536302861711745,Normal
1751953990,41.2,85.0,MemCompression,3644,16.3,3.4260923991933825,Normal
1751953990,41.2,85.0,MsMpEng.exe,5904,4.9,1.9278329920832893,Normal
1751953990,41.2,85.0,chrome.exe,9440,44.7,1.6966245993153717,Normal
1751953990,41.2,85.0,Spotify.exe,12216,1.3,0.2635678937640968,Normal
1751953990,41.2,85.0,ChatGPT.exe,15708,1.6,1.0099888797469672,Normal
1751953990,41.2,85.0,chrome.exe,16732,6.9,1.575457857917122,Normal
1751953990,41.2,85.0,explorer.exe,18404,1.3,2.5573921628094043,Normal
1751953990,41.2,85.0,dwm.exe,18536,19.7,1.0657836247381371,Normal
1751953990,41.2,85.0,WmiPrvSE.exe,18728,1.1,0.0876947313992122,Normal
1751953990,41.2,85.0,chrome.exe,18812,38.8,1.3685553683638234,Normal
1751953990,41.2,85.0,python.exe,19460,13.7,0.480337854473181,Normal
1751953990,41.2,85.0,chrome.exe,19528,9.6,0.4297428798214568,Normal
1751953990,41.2,85.0,Spotify.exe,25136,3.8,1.6461021795986166,Normal
1751953990,41.2,85.0,ctfmon.exe,25316,2.9,0.172317970551403,Normal
1751953990,41.2,85.0,audiodg.exe,27064,3.8,0.1250363379299303,Normal
1751953990,41.2,85.0,msedgewebview2.exe,28996,17.7,0.9889963185625996,Normal
1751953990,41.2,85.0,msedgewebview2.exe,29216,6.7,2.5812385514358867,Normal
1751953997,19.1,85.5,System Idle Process,0,584.7,4.836995664600786e-05,High Process Usage
1751953997,19.1,85.5,System,4,16.3,0.0491438759523439,High Memory Usage
1751953997,19.1,85.5,chrome.exe,1408,23.3,2.45421904528347,High Memory Usage
1751953997,19.1,85.5,TextInputHost.exe,3568,1.1,1.580705998213214,High Memory Usage
1751953997,19.1,85.5,MsMpEng.exe,5904,2.3,1.7196970686355173,High Memory Usage
1751953997,19.1,85.5,chrome.exe,9440,22.3,1.6691746489187622,High Memory Usage
1751953997,19.1,85.5,ChatGPT.exe,15708,3.2,1.010037249703613,High Memory Usage
1751953997,19.1,85.5,explorer.exe,18404,1.6,2.5574405327660505,High Memory Usage
1751953997,19.1,85.5,dwm.exe,18536,19.1,1.22634769582456,High Memory Usage
1751953997,19.1,85.5,WmiPrvSE.exe,18728,1.1,0.0877189163775352,High Memory Usage
1751953997,19.1,85.5,chrome.exe,18812,4.3,1.416369070508402,High Memory Usage
1751953997,19.1,85.5,python.exe,19460,13.0,0.4805555192780881,High Memory Usage
1751953997,19.1,85.5,chrome.exe,19528,2.0,0.4196093739041182,High Memory Usage
1751953997,19.1,85.5,msedge.exe,21876,1.6,1.1399589532547902,High Memory Usage
1751953997,19.1,85.5,chrome.exe,24520,16.2,0.7746690406641389,High Memory Usage
1751953997,19.1,85.5,Spotify.exe,25136,3.2,1.6453040753139574,High Memory Usage
1751953997,19.1,85.5,ctfmon.exe,25316,1.6,0.172317970551403,High Memory Usage
1751953997,19.1,85.5,chrome.exe,25612,21.6,1.3929821964700573,High Memory Usage
1751953997,19.1,85.5,audiodg.exe,27064,5.4,0.1249395980166382,High Memory Usage
1751953997,19.1,85.5,msedgewebview2.exe,28996,19.6,0.9859973812505471,High Memory Usage
1751953997,19.1,85.5,msedgewebview2.exe,29216,5.4,2.5821092106555144,High Memory Usage
1751954004,21.7,82.6,System Idle Process,0,634.8,4.836995664600786e-05,High Process Usage
1751954004,21.7,82.6,System,4,9.9,0.0491438759523439,Normal
1751954004,21.7,82.6,chrome.exe,1408,10.3,2.1192087255532197,Normal
1751954004,21.7,82.6,svchost.exe,1940,2.2,0.0788188443546698,Normal
1751954004,21.7,82.6,MsMpEng.exe,5904,5.1,1.728524585723414,Normal
1751954004,21.7,82.6,chrome.exe,9440,8.1,1.6290033999242528,Normal
1751954004,21.7,82.6,Code.exe,12184,1.3,1.642305138001905,Normal
1751954004,21.7,82.6,ChatGPT.exe,15708,2.9,1.010061434681936,Normal
1751954004,21.7,82.6,explorer.exe,18404,3.1,2.5572470529394664,Normal
1751954004,21.7,82.6,dwm.exe,18536,18.8,1.122497398905581,Normal
1751954004,21.7,82.6,Code.exe,18856,2.2,1.011536718359639,Normal
1751954004,21.7,82.6,python.exe,19460,13.8,0.480603889234734,Normal
1751954004,21.7,82.6,WUDFHost.exe,20944,2.9,0.0399293992112794,Normal
1751954004,21.7,82.6,Spotify.exe,25136,1.6,1.6443850461376832,Normal
1751954004,21.7,82.6,audiodg.exe,27064,3.6,0.1249395980166382,Normal
